Time,X,Y
0.00,100.00,150.00
0.01,104.00,150.00
0.02,108.00,150.00
0.03,112.00,150.00
0.04,116.00,150.00
0.05,120.00,150.00
0.06,124.00,150.00
0.07,128.00,150.00
0.08,132.00,150.00
0.09,136.00,150.00
0.10,140.00,150.00
0.11,144.00,150.00
0.12,148.00,150.00
0.13,152.00,150.00
0.14,156.00,150.00
0.15,160.00,150.00
0.16,164.00,150.00
0.17,168.00,150.00
0.18,172.00,150.00
0.19,176.00,150.00
0.20,180.00,150.00
0.21,184.00,150.00
0.22,188.00,150.00
0.23,192.00,150.00
0.24,196.00,150.00
0.25,200.00,150.00
0.26,204.00,150.00
0.27,208.00,150.00
0.28,212.00,150.00
0.29,216.00,150.00
0.30,220.00,150.00
0.31,224.00,150.00
0.32,228.00,150.00
0.33,232.00,150.00
0.34,236.00,150.00
0.35,240.00,150.00
0.36,244.00,150.00
0.37,248.00,150.00
0.38,252.00,150.00
0.39,256.00,150.00
0.40,260.00,150.00
0.41,264.00,150.00
0.42,268.00,150.00
0.43,272.00,150.00
0.44,276.00,150.00
0.45,280.00,150.00
0.46,284.00,150.00
0.47,288.00,150.00
0.48,292.00,150.00
0.49,296.00,150.00
0.50,300.00,150.00
0.51,304.00,150.00
0.52,308.00,150.00
0.53,312.00,150.00
0.54,316.00,150.00
0.55,320.00,150.00
0.56,324.00,150.00
0.57,328.00,150.00
0.58,332.00,150.00
0.59,336.00,150.00
0.60,340.00,150.00
0.61,344.00,150.00
0.62,348.00,150.00
0.63,352.00,150.00
0.64,356.00,150.00
0.65,360.00,150.00
0.66,364.00,150.00
0.67,368.00,150.00
0.68,372.00,150.00
0.69,376.00,150.00
0.70,380.00,150.00
0.71,384.00,150.00
0.72,388.00,150.00
0.73,392.00,150.00
0.74,396.00,150.00
0.75,400.00,150.00
0.76,404.00,150.00
0.77,408.00,150.00
0.78,412.00,150.00
0.79,416.00,150.00
0.80,420.00,150.00
0.81,424.00,150.00
0.82,428.00,150.00
0.83,432.00,150.00
0.84,436.00,150.00
0.85,440.00,150.00
0.86,444.00,150.00
0.87,448.00,150.00
0.88,452.00,150.00
0.89,456.00,150.00
0.90,460.00,150.00
